Compound,MW,LogP,HBD,HBA,Lipinski_Result
Aspirin,180.16,1.31,1,3,Pass
Paracetamol,151.16,1.35,2,2,Pass
Caffeine,194.19,-1.03,0,3,Pass
Ibuprofen,206.28,3.07,1,1,Pass
