Compound,SMILES,MolecularWeight,LogP,TPSA,HBD,HBA
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,1.31,63.6,1,3
Paracetamol,CC(=O)NC1=CC(O)=CC=C1,151.16,1.35,49.33,2,2
Caffeine,Cn1cnc2n(C)c(=O)n(C)c(=O)c12,194.19,-1.03,61.82,0,3
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.28,3.07,37.3,1,1
